Name,Cotton-yarn-85-single-uncombed-714-232-dtex-not-retail,Cotton-yarn-85-single-uncombed-714-232-dtexnot-ret,Cotton-yarn-85-single-uncombed-714-dtexnot-retail,Denim-cotton-85-200gm2,Heavy-Mixed-Woven-Cotton,Heavy-Pure-Woven-Cotton,Hosiery-nes-of-cotton-knit,Light-Pure-Woven-Cotton,Mens-boys-ensembles-of-cotton-not-knit,Mens-boys-nightshirts-or-pyjamas-of-cotton-knit,Mens-boys-overcoats-etc-of-cotton-knit,Mens-boys-shirts-of-cotton-knit,Mens-boys-shirts-of-cotton-not-knit,Mens-boys-trousers--shorts-of-cotton-knit,Mens-boys-trousers--shorts-of-cotton-not-knit,Mens-boys-underpants-or-briefs-of-cotton-knit,Non-Retail-Pure-Cotton-Yarn,Plain-weave-cotton-85-100-200gm2-bleached,Plain-weave-cotton-85-100-200gm2-dyed,Plain-weave-cotton-85-100-200gm2-printed,Plain-weave-cotton-85-100-200gm2-unbleached,Plain-weave-cotton-85-100-gm2-bleached,Pullovers-cardigans-etc-of-cotton-knit,Raw-Cotton,Raw-silk-not-thrown,Silk,Silk-Fabrics,T-shirts-singlets-and-other-vests-of-cotton-knit,Track-suits-of-cotton-knit,Twill-weave-cotton-85-200gm2-unbleached,Womens-girls-bathrobe-dressing-gowns-of-knit-cotto,Womens-girls-blouses--shirts-of-cotton-knit,Womens-girls-ensembles-of-cotton-knit,Womens-girls-nightdress-or-pyjamas-of-cotton-knit,Womens-girls-overcoats-etc-of-cotton-knit,Womens-girls-trousers--shorts-of-cotton-knit,Womens-girls-trousers--shorts-of-cotton-not-knit,Woven-cotton-fabric--200gm2-yarns-mixed-colours,Woven-cotton-nes-85-200gm2-bleached,Woven-fabric-85-silk-except-noil-silk
Armenia,57989,1464846,,14605,,17745,29103,350496,,1325.9999999999998,9085,23540,1064,59997,18274,24798,2983029,288603,,,,61893,3386,,,,,165861,5197,3140,1513.0000000000002,6399,3316.0000000000005,7427.000000000001,6801,72901.00000000001,32028,,,
Kazakhstan,183877,934735,77330,,,702557,2364422,4346803,46869,409851,159097,575531,55552,3338873,175141,2283078.9999999995,1990789,848491.0000000001,190130,644703,750288,452837,1323887.0000000002,,,,,8600608,401202,205766,1540197,43126.99999999999,181995,2207092,,692423,67152,,920951,
Turkey,817128.9999999999,93803584,2422274,3253540.9999999995,2,3455081.9999999995,66,211800,177,,,539939,1016,106942,313445.99999999994,262,503077908,,4083,,140016,4,2428984,5309469,203991,203991,,1604764,9.000000000000002,,11599,74958,84084,15,30,1725174,319368,12290.999999999998,,
Lithuania,1702095,739822,,,,526910.0000000001,99576.00000000001,2204495,,,,,,5526,103.00000000000001,,867276,232207,34540,251684.00000000003,1615822,,4683,,,1285,1285,53062,,412443.00000000006,861,,879,4297,,4018,234,,,
Poland,1421456.0000000002,11759558,327844,54501.00000000001,524489,1696300,94,11816929,,,11669,18387.999999999996,10,16114.999999999998,176827,102892.99999999999,53017624,1079271,930557,2145621,6846941.999999999,,154994,,,,,196500,,1285162,,1143,,3345,2842,30452,42452,,191558,
Russia,6054496,162388516,2943977.0000000005,540175.9999999999,2004514,7140960,30736857.000000004,86975960,3417481,7564206.999999999,2076887.0000000002,10004923,1088756,39170628,7124791,14179888,390058545,1206990,1102220,11750341,49771475,5746298.000000001,63227867,169294,,55027,55027,164016874,5172915,5786712,6311925.999999999,3528950,2585802,16070559,2341994,35238115,7279148,,10745826,49995
Ukraine,264836,3404613,23385,,265994,1106088,147049,3987280,11015,38681,24744,32328.000000000004,,374695.99999999994,86530,740962,9401263,798307,249241,82539,1095383,554872,176813,,,,,1554818,166783,564023,129858,20958.000000000004,81418,287741,14592,185715.99999999997,143103.99999999997,,656331,
Morocco,,587.0000000000001,,77805,72941,156288,,,,,,330,,,19223,,3306811,,,,,,19684,,,,,4861.000000000001,,,,106,235,,,4234,25798,,,
Tunisia,,239213,,68021.99999999999,,159307.99999999997,,385543,,,,,,,,,1569468,,2203.0000000000005,,201720,,,,,,,,,86062.99999999999,,,,,,,,,,
Armenia,57989,1464846,,14605,,17745,29103,350496,,1325.9999999999998,9085,23540,1064,59997,18274,24798,2983029,288603,,,,61893,3386,,,,,165861,5197,3140,1513.0000000000002,6399,3316.0000000000005,7427.000000000001,6801,72901.00000000001,32028,,,
Bangladesh,,1267360,,,,,,,,,,,,,,,9104329,,,,,,,,,,,,,,,,,,,,,,,
China,,50665629,,,,,103.00000000000001,1152234,,330,,,,552.9999999999999,,,244880717,,770491.0000000001,,381741,,3127,,663692,26151151,6513541.999999999,1499,,,,,,16,,381,,2363377.9999999995,2,6513541.999999999
