"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afegy","Egypt","egy",84323
"af","Africa","afmar","Morocco","mar",77805
"af","Africa","aftun","Tunisia","tun",68021.99999999999
"as","Asia","asarm","Armenia","arm",14605
"as","Asia","asirn","Iran","irn",396926
"as","Asia","askgz","Kyrgyzstan","kgz",10905
"as","Asia","aslbn","Lebanon","lbn",48020
"as","Asia","astur","Turkey","tur",3253540.9999999995
"eu","Europe","eunld","Netherlands","nld",1186
"eu","Europe","eupol","Poland","pol",54501.00000000001
"eu","Europe","eurus","Russia","rus",540175.9999999999
