"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afegy","Egypt","egy",84323
"af","Africa","afmar","Morocco","mar",156288
"af","Africa","aftun","Tunisia","tun",159307.99999999997
"af","Africa","afzaf","South Africa","zaf",51544
"as","Asia","asarm","Armenia","arm",17745
"as","Asia","asaze","Azerbaijan","aze",155748
"as","Asia","asirn","Iran","irn",396926
"as","Asia","askaz","Kazakhstan","kaz",702557
"as","Asia","askgz","Kyrgyzstan","kgz",1635509
"as","Asia","aslbn","Lebanon","lbn",48020
"as","Asia","astjk","Tajikistan","tjk",189446
"as","Asia","astur","Turkey","tur",3455081.9999999995
"eu","Europe","eubel","Belgium","bel",216840
"eu","Europe","eublr","Belarus","blr",7587.999999999999
"eu","Europe","euche","Switzerland","che",72891
"eu","Europe","eucze","Czechia","cze",58157
"eu","Europe","eudeu","Germany","deu",560941
"eu","Europe","eugbr","United Kingdom","gbr",109150
"eu","Europe","euhun","Hungary","hun",51254
"eu","Europe","euita","Italy","ita",162045
"eu","Europe","eultu","Lithuania","ltu",526910.0000000001
"eu","Europe","eulva","Latvia","lva",11058
"eu","Europe","eumda","Moldova","mda",18210
"eu","Europe","eumkd","North Macedonia","mkd",6145
"eu","Europe","eumlt","Malta","mlt",5
"eu","Europe","eunld","Netherlands","nld",1594
"eu","Europe","eunor","Norway","nor",4307
"eu","Europe","eupol","Poland","pol",1696300
"eu","Europe","eurus","Russia","rus",7140960
"eu","Europe","eusvn","Slovenia","svn",7029
"eu","Europe","euukr","Ukraine","ukr",1106088
