"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","aftun","Tunisia","tun",385543
"af","Africa","afzaf","South Africa","zaf",96
"as","Asia","asafg","Afghanistan","afg",525078
"as","Asia","asare","United Arab Emirates","are",1910
"as","Asia","asarm","Armenia","arm",350496
"as","Asia","asaze","Azerbaijan","aze",1006156
"as","Asia","aschn","China","chn",1152234
"as","Asia","asgeo","Georgia","geo",36519
"as","Asia","asidn","Indonesia","idn",148.00000000000003
"as","Asia","asirn","Iran","irn",151290
"as","Asia","asjpn","Japan","jpn",108142.99999999999
"as","Asia","askaz","Kazakhstan","kaz",4346803
"as","Asia","askgz","Kyrgyzstan","kgz",3953296
"as","Asia","askor","South Korea","kor",2450744
"as","Asia","asmys","Malaysia","mys",73351
"as","Asia","astjk","Tajikistan","tjk",831619
"as","Asia","astkm","Turkmenistan","tkm",620
"as","Asia","astur","Turkey","tur",211800
"eu","Europe","eubel","Belgium","bel",360631
"eu","Europe","eublr","Belarus","blr",1819734
"eu","Europe","euche","Switzerland","che",3816
"eu","Europe","eucze","Czechia","cze",1999679
"eu","Europe","eudeu","Germany","deu",1001241.9999999999
"eu","Europe","euesp","Spain","esp",1186340
"eu","Europe","eufra","France","fra",8028
"eu","Europe","eugbr","United Kingdom","gbr",112744
"eu","Europe","euhun","Hungary","hun",296702
"eu","Europe","euirl","Ireland","irl",3586.0000000000005
"eu","Europe","euita","Italy","ita",1567027
"eu","Europe","eultu","Lithuania","ltu",2204495
"eu","Europe","eulva","Latvia","lva",776586
"eu","Europe","eumda","Moldova","mda",604857
"eu","Europe","eumkd","North Macedonia","mkd",22152
"eu","Europe","eumlt","Malta","mlt",12
"eu","Europe","eunld","Netherlands","nld",177
"eu","Europe","eunor","Norway","nor",400
"eu","Europe","eupol","Poland","pol",11816929
"eu","Europe","eurus","Russia","rus",86975960
"eu","Europe","eusrb","Serbia","srb",2943
"eu","Europe","eusvk","Slovakia","svk",233
"eu","Europe","euswe","Sweden","swe",392
"eu","Europe","euukr","Ukraine","ukr",3987280
