"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",1325.9999999999998
"as","Asia","asaze","Azerbaijan","aze",22868.000000000004
"as","Asia","aschn","China","chn",330
"as","Asia","askaz","Kazakhstan","kaz",409851
"as","Asia","askgz","Kyrgyzstan","kgz",2466998
"as","Asia","askwt","Kuwait","kwt",3646.0000000000005
"as","Asia","asmng","Mongolia","mng",382
"eu","Europe","eublr","Belarus","blr",3628.9999999999995
"eu","Europe","eucze","Czechia","cze",2276
"eu","Europe","eudeu","Germany","deu",266
"eu","Europe","euita","Italy","ita",1284938
"eu","Europe","eumda","Moldova","mda",61658
"eu","Europe","euprt","Portugal","prt",38
"eu","Europe","eurou","Romania","rou",19324
"eu","Europe","eurus","Russia","rus",7564206.999999999
"eu","Europe","euukr","Ukraine","ukr",38681
