"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",9085
"as","Asia","askaz","Kazakhstan","kaz",159097
"as","Asia","askgz","Kyrgyzstan","kgz",1024194.9999999999
"as","Asia","askwt","Kuwait","kwt",1501.9999999999998
"as","Asia","astkm","Turkmenistan","tkm",2904
"eu","Europe","eublr","Belarus","blr",104622.99999999999
"eu","Europe","eucze","Czechia","cze",376
"eu","Europe","eugbr","United Kingdom","gbr",13.999999999999998
"eu","Europe","eugrc","Greece","grc",16421
"eu","Europe","eulva","Latvia","lva",10854.000000000002
"eu","Europe","eumda","Moldova","mda",690
"eu","Europe","eumlt","Malta","mlt",1
"eu","Europe","eunld","Netherlands","nld",148.00000000000003
"eu","Europe","eupol","Poland","pol",11669
"eu","Europe","eurus","Russia","rus",2076887.0000000002
"eu","Europe","euukr","Ukraine","ukr",24744
"na","North America","nausa","United States","usa",7574
