"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afmar","Morocco","mar",330
"as","Asia","asare","United Arab Emirates","are",5046
"as","Asia","asarm","Armenia","arm",23540
"as","Asia","asaze","Azerbaijan","aze",157034
"as","Asia","asbhr","Bahrain","bhr",245
"as","Asia","askaz","Kazakhstan","kaz",575531
"as","Asia","askgz","Kyrgyzstan","kgz",5176427
"as","Asia","askwt","Kuwait","kwt",19250
"as","Asia","asmys","Malaysia","mys",15008
"as","Asia","astjk","Tajikistan","tjk",162
"as","Asia","astkm","Turkmenistan","tkm",29514
"as","Asia","astur","Turkey","tur",539939
"eu","Europe","eubgr","Bulgaria","bgr",1642
"eu","Europe","eubih","Bosnia and Herzegovina","bih",2432
"eu","Europe","eublr","Belarus","blr",27605.999999999996
"eu","Europe","eucze","Czechia","cze",14263
"eu","Europe","eudeu","Germany","deu",9078
"eu","Europe","eugbr","United Kingdom","gbr",36.00000000000001
"eu","Europe","euhrv","Croatia","hrv",163.99999999999997
"eu","Europe","euirl","Ireland","irl",34
"eu","Europe","euita","Italy","ita",25816.999999999996
"eu","Europe","eulva","Latvia","lva",347203.00000000006
"eu","Europe","eumda","Moldova","mda",43443.99999999999
"eu","Europe","eumkd","North Macedonia","mkd",1198
"eu","Europe","eumlt","Malta","mlt",409
"eu","Europe","eumne","Montenegro","mne",475
"eu","Europe","eupol","Poland","pol",18387.999999999996
"eu","Europe","euprt","Portugal","prt",672
"eu","Europe","eurou","Romania","rou",4647
"eu","Europe","eurus","Russia","rus",10004923
"eu","Europe","eusrb","Serbia","srb",3468
"eu","Europe","eusvk","Slovakia","svk",31
"eu","Europe","euukr","Ukraine","ukr",32328.000000000004
"na","North America","nausa","United States","usa",2330
"sa","South America","saper","Peru","per",12
