"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afsyc","Seychelles","syc",304
"as","Asia","asare","United Arab Emirates","are",12
"as","Asia","asarm","Armenia","arm",1064
"as","Asia","asisr","Israel","isr",4000
"as","Asia","askaz","Kazakhstan","kaz",55552
"as","Asia","askgz","Kyrgyzstan","kgz",866475
"as","Asia","askwt","Kuwait","kwt",14243
"as","Asia","asmng","Mongolia","mng",12
"as","Asia","astjk","Tajikistan","tjk",768
"as","Asia","astkm","Turkmenistan","tkm",7176
"as","Asia","astur","Turkey","tur",1016
"eu","Europe","eubgr","Bulgaria","bgr",547
"eu","Europe","eublr","Belarus","blr",75074
"eu","Europe","euesp","Spain","esp",59.00000000000001
"eu","Europe","eumlt","Malta","mlt",94
"eu","Europe","eunld","Netherlands","nld",4399
"eu","Europe","eupol","Poland","pol",10
"eu","Europe","euprt","Portugal","prt",119.00000000000001
"eu","Europe","eurus","Russia","rus",1088756
"eu","Europe","euswe","Sweden","swe",99
"na","North America","nausa","United States","usa",609
