"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asare","United Arab Emirates","are",6077.000000000001
"as","Asia","asarm","Armenia","arm",59997
"as","Asia","asaze","Azerbaijan","aze",9982.000000000002
"as","Asia","aschn","China","chn",552.9999999999999
"as","Asia","ascyp","Cyprus","cyp",10777.000000000002
"as","Asia","asidn","Indonesia","idn",143.00000000000003
"as","Asia","askaz","Kazakhstan","kaz",3338873
"as","Asia","askgz","Kyrgyzstan","kgz",16692648.999999998
"as","Asia","askwt","Kuwait","kwt",48038.99999999999
"as","Asia","asmng","Mongolia","mng",941
"as","Asia","astjk","Tajikistan","tjk",525
"as","Asia","astkm","Turkmenistan","tkm",20960
"as","Asia","astur","Turkey","tur",106942
"eu","Europe","eubgr","Bulgaria","bgr",13118
"eu","Europe","eubih","Bosnia and Herzegovina","bih",4831
"eu","Europe","eublr","Belarus","blr",1090516
"eu","Europe","eucze","Czechia","cze",65661
"eu","Europe","eudeu","Germany","deu",119829
"eu","Europe","eugbr","United Kingdom","gbr",60
"eu","Europe","eugrc","Greece","grc",81016
"eu","Europe","euhrv","Croatia","hrv",88.00000000000001
"eu","Europe","euita","Italy","ita",313980
"eu","Europe","eultu","Lithuania","ltu",5526
"eu","Europe","eulva","Latvia","lva",27964.000000000004
"eu","Europe","eumda","Moldova","mda",525491
"eu","Europe","eumkd","North Macedonia","mkd",1720
"eu","Europe","eumne","Montenegro","mne",210
"eu","Europe","eunld","Netherlands","nld",1895
"eu","Europe","eupol","Poland","pol",16114.999999999998
"eu","Europe","eurou","Romania","rou",57561.00000000001
"eu","Europe","eurus","Russia","rus",39170628
"eu","Europe","eusrb","Serbia","srb",3135
"eu","Europe","eusvk","Slovakia","svk",110
"eu","Europe","eusvn","Slovenia","svn",795
"eu","Europe","euukr","Ukraine","ukr",374695.99999999994
"na","North America","nausa","United States","usa",46028
"sa","South America","saecu","Ecuador","ecu",37.00000000000001
"sa","South America","saper","Peru","per",186.00000000000003
