"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afmar","Morocco","mar",19223
"as","Asia","asare","United Arab Emirates","are",717.0000000000001
"as","Asia","asarm","Armenia","arm",18274
"as","Asia","asaze","Azerbaijan","aze",5707.999999999999
"as","Asia","asisr","Israel","isr",67586
"as","Asia","askaz","Kazakhstan","kaz",175141
"as","Asia","askgz","Kyrgyzstan","kgz",1749775
"as","Asia","askwt","Kuwait","kwt",7495
"as","Asia","aslbn","Lebanon","lbn",11699.000000000002
"as","Asia","astjk","Tajikistan","tjk",3222
"as","Asia","astur","Turkey","tur",313445.99999999994
"eu","Europe","eubgr","Bulgaria","bgr",1521
"eu","Europe","eubih","Bosnia and Herzegovina","bih",433
"eu","Europe","eublr","Belarus","blr",224155
"eu","Europe","euche","Switzerland","che",11286
"eu","Europe","eucze","Czechia","cze",1628
"eu","Europe","eudeu","Germany","deu",186197.99999999997
"eu","Europe","euest","Estonia","est",550
"eu","Europe","eugbr","United Kingdom","gbr",15155
"eu","Europe","euita","Italy","ita",39986
"eu","Europe","eultu","Lithuania","ltu",103.00000000000001
"eu","Europe","eumda","Moldova","mda",177482
"eu","Europe","eunld","Netherlands","nld",1936
"eu","Europe","eupol","Poland","pol",176827
"eu","Europe","euprt","Portugal","prt",79
"eu","Europe","eurus","Russia","rus",7124791
"eu","Europe","eusvn","Slovenia","svn",685
"eu","Europe","euukr","Ukraine","ukr",86530
"na","North America","nausa","United States","usa",1219
