"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",24798
"as","Asia","asaze","Azerbaijan","aze",23223.000000000004
"as","Asia","askaz","Kazakhstan","kaz",2283078.9999999995
"as","Asia","askgz","Kyrgyzstan","kgz",5877014
"as","Asia","askwt","Kuwait","kwt",6013
"as","Asia","astjk","Tajikistan","tjk",64176.99999999999
"as","Asia","astkm","Turkmenistan","tkm",548.9999999999999
"as","Asia","astur","Turkey","tur",262
"eu","Europe","eublr","Belarus","blr",16927
"eu","Europe","eucze","Czechia","cze",6860
"eu","Europe","eulux","Luxembourg","lux",7497.999999999999
"eu","Europe","eulva","Latvia","lva",724106.0000000001
"eu","Europe","eumda","Moldova","mda",386506.99999999994
"eu","Europe","eunld","Netherlands","nld",57.99999999999999
"eu","Europe","eupol","Poland","pol",102892.99999999999
"eu","Europe","eurou","Romania","rou",5284
"eu","Europe","eurus","Russia","rus",14179888
"eu","Europe","euukr","Ukraine","ukr",740962
