"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afegy","Egypt","egy",20394303
"af","Africa","afmar","Morocco","mar",3306811
"af","Africa","aftun","Tunisia","tun",1569468
"af","Africa","afzaf","South Africa","zaf",169445
"as","Asia","asarm","Armenia","arm",2983029
"as","Asia","asaze","Azerbaijan","aze",218236
"as","Asia","asbgd","Bangladesh","bgd",9104329
"as","Asia","aschn","China","chn",244880717
"as","Asia","asgeo","Georgia","geo",122438
"as","Asia","asidn","Indonesia","idn",198.99999999999997
"as","Asia","asirn","Iran","irn",73050357
"as","Asia","asjpn","Japan","jpn",604210
"as","Asia","askaz","Kazakhstan","kaz",1990789
"as","Asia","askgz","Kyrgyzstan","kgz",1932379
"as","Asia","askor","South Korea","kor",2459739
"as","Asia","aspak","Pakistan","pak",13436990
"as","Asia","assgp","Singapore","sgp",241410
"as","Asia","astjk","Tajikistan","tjk",3660
"as","Asia","astkm","Turkmenistan","tkm",107574
"as","Asia","astur","Turkey","tur",503077908
"eu","Europe","euaut","Austria","aut",774153
"eu","Europe","eubel","Belgium","bel",2995954
"eu","Europe","eubgr","Bulgaria","bgr",2082435
"eu","Europe","eubih","Bosnia and Herzegovina","bih",1158484.0000000002
"eu","Europe","eublr","Belarus","blr",19008152
"eu","Europe","euche","Switzerland","che",20221
"eu","Europe","eucze","Czechia","cze",1169903
"eu","Europe","eudeu","Germany","deu",12691206
"eu","Europe","euesp","Spain","esp",723661
"eu","Europe","eugbr","United Kingdom","gbr",138409
"eu","Europe","eugrc","Greece","grc",270324
"eu","Europe","euita","Italy","ita",4165100
"eu","Europe","eultu","Lithuania","ltu",867276
"eu","Europe","eulva","Latvia","lva",197518
"eu","Europe","eumda","Moldova","mda",1642265.0000000002
"eu","Europe","eumkd","North Macedonia","mkd",883266
"eu","Europe","eupol","Poland","pol",53017624
"eu","Europe","euprt","Portugal","prt",3217607
"eu","Europe","eurou","Romania","rou",149525
"eu","Europe","eurus","Russia","rus",390058545
"eu","Europe","eusrb","Serbia","srb",741777
"eu","Europe","eusvk","Slovakia","svk",70635
"eu","Europe","eusvn","Slovenia","svn",548928
"eu","Europe","euukr","Ukraine","ukr",9401263
"na","North America","nacan","Canada","can",3367380
"na","North America","nadom","Dominican Republic","dom",255969.00000000003
"na","North America","nagtm","Guatemala","gtm",333417
"na","North America","nahnd","Honduras","hnd",83622.99999999999
"na","North America","nausa","United States","usa",394861
"sa","South America","sachl","Chile","chl",176787.99999999997
"sa","South America","sacol","Colombia","col",1448463
"sa","South America","saper","Peru","per",2810505
