"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","aftun","Tunisia","tun",2203.0000000000005
"af","Africa","afzaf","South Africa","zaf",96
"as","Asia","asafg","Afghanistan","afg",720
"as","Asia","asaze","Azerbaijan","aze",165114
"as","Asia","aschn","China","chn",770491.0000000001
"as","Asia","askaz","Kazakhstan","kaz",190130
"as","Asia","askgz","Kyrgyzstan","kgz",142211
"as","Asia","astjk","Tajikistan","tjk",155497
"as","Asia","astur","Turkey","tur",4083
"eu","Europe","eucze","Czechia","cze",66024
"eu","Europe","euesp","Spain","esp",380573.00000000006
"eu","Europe","euhun","Hungary","hun",28816.999999999996
"eu","Europe","euirl","Ireland","irl",3118.0000000000005
"eu","Europe","euita","Italy","ita",207924
"eu","Europe","eultu","Lithuania","ltu",34540
"eu","Europe","eumkd","North Macedonia","mkd",8815
"eu","Europe","eupol","Poland","pol",930557
"eu","Europe","eurus","Russia","rus",1102220
"eu","Europe","euukr","Ukraine","ukr",249241
