"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asaze","Azerbaijan","aze",202507.99999999997
"as","Asia","askaz","Kazakhstan","kaz",644703
"as","Asia","askgz","Kyrgyzstan","kgz",90097.00000000001
"as","Asia","astkm","Turkmenistan","tkm",620
"eu","Europe","eublr","Belarus","blr",1252482
"eu","Europe","eucze","Czechia","cze",18472
"eu","Europe","euhun","Hungary","hun",61341
"eu","Europe","eultu","Lithuania","ltu",251684.00000000003
"eu","Europe","eumkd","North Macedonia","mkd",10444
"eu","Europe","eupol","Poland","pol",2145621
"eu","Europe","eurus","Russia","rus",11750341
"eu","Europe","euukr","Ukraine","ukr",82539
