"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","aftun","Tunisia","tun",201720
"as","Asia","asaze","Azerbaijan","aze",75492
"as","Asia","aschn","China","chn",381741
"as","Asia","asirn","Iran","irn",151290
"as","Asia","asjpn","Japan","jpn",108142.99999999999
"as","Asia","askaz","Kazakhstan","kaz",750288
"as","Asia","askgz","Kyrgyzstan","kgz",440354.00000000006
"as","Asia","askor","South Korea","kor",2450744
"as","Asia","asmys","Malaysia","mys",73351
"as","Asia","astjk","Tajikistan","tjk",594115
"as","Asia","astur","Turkey","tur",140016
"eu","Europe","eubel","Belgium","bel",349805
"eu","Europe","eublr","Belarus","blr",82698
"eu","Europe","eucze","Czechia","cze",1060764
"eu","Europe","eudeu","Germany","deu",780898.9999999999
"eu","Europe","euesp","Spain","esp",805766.9999999999
"eu","Europe","eufra","France","fra",1319
"eu","Europe","eugbr","United Kingdom","gbr",112744
"eu","Europe","euhun","Hungary","hun",33998.00000000001
"eu","Europe","euita","Italy","ita",1032803.0000000001
"eu","Europe","eultu","Lithuania","ltu",1615822
"eu","Europe","eulva","Latvia","lva",422157
"eu","Europe","eumda","Moldova","mda",302948
"eu","Europe","eunor","Norway","nor",400
"eu","Europe","eupol","Poland","pol",6846941.999999999
"eu","Europe","eurus","Russia","rus",49771475
"eu","Europe","eusrb","Serbia","srb",2510
"eu","Europe","euukr","Ukraine","ukr",1095383
