"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",61893
"as","Asia","asaze","Azerbaijan","aze",177192
"as","Asia","askaz","Kazakhstan","kaz",452837
"as","Asia","askgz","Kyrgyzstan","kgz",1545965
"as","Asia","astur","Turkey","tur",4
"eu","Europe","eublr","Belarus","blr",343868.00000000006
"eu","Europe","eucze","Czechia","cze",188065
"eu","Europe","eulva","Latvia","lva",10550.999999999998
"eu","Europe","eumda","Moldova","mda",254905
"eu","Europe","eurus","Russia","rus",5746298.000000001
"eu","Europe","euukr","Ukraine","ukr",554872
