"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afmar","Morocco","mar",19684
"as","Asia","asare","United Arab Emirates","are",2966
"as","Asia","asarm","Armenia","arm",3386
"as","Asia","asaze","Azerbaijan","aze",62815
"as","Asia","asbhr","Bahrain","bhr",6386
"as","Asia","aschn","China","chn",3127
"as","Asia","ascyp","Cyprus","cyp",17734
"as","Asia","askaz","Kazakhstan","kaz",1323887.0000000002
"as","Asia","askgz","Kyrgyzstan","kgz",2481479
"as","Asia","askor","South Korea","kor",20
"as","Asia","askwt","Kuwait","kwt",1392
"as","Asia","aslbn","Lebanon","lbn",3105
"as","Asia","asmng","Mongolia","mng",735
"as","Asia","astjk","Tajikistan","tjk",6082.999999999999
"as","Asia","astkm","Turkmenistan","tkm",1090
"as","Asia","astur","Turkey","tur",2428984
"eu","Europe","euand","Andorra","and",39
"eu","Europe","eubel","Belgium","bel",179
"eu","Europe","eubgr","Bulgaria","bgr",17375.999999999996
"eu","Europe","eubih","Bosnia and Herzegovina","bih",138370
"eu","Europe","eublr","Belarus","blr",4460587
"eu","Europe","euche","Switzerland","che",493
"eu","Europe","eucze","Czechia","cze",294875
"eu","Europe","eudeu","Germany","deu",465674.00000000006
"eu","Europe","euesp","Spain","esp",1051
"eu","Europe","eufra","France","fra",57998.00000000001
"eu","Europe","eugbr","United Kingdom","gbr",159054
"eu","Europe","eugrc","Greece","grc",40745
"eu","Europe","euhrv","Croatia","hrv",6252.000000000001
"eu","Europe","euirl","Ireland","irl",6263.999999999999
"eu","Europe","euita","Italy","ita",201325
"eu","Europe","eultu","Lithuania","ltu",4683
"eu","Europe","eulux","Luxembourg","lux",1394.0000000000002
"eu","Europe","eulva","Latvia","lva",35230
"eu","Europe","eumda","Moldova","mda",429977
"eu","Europe","eumkd","North Macedonia","mkd",55861.99999999999
"eu","Europe","eumlt","Malta","mlt",28.999999999999996
"eu","Europe","eumne","Montenegro","mne",4883
"eu","Europe","eunld","Netherlands","nld",1283.0000000000002
"eu","Europe","eupol","Poland","pol",154994
"eu","Europe","euprt","Portugal","prt",168646
"eu","Europe","eurou","Romania","rou",94914
"eu","Europe","eurus","Russia","rus",63227867
"eu","Europe","eusrb","Serbia","srb",154751
"eu","Europe","euukr","Ukraine","ukr",176813
"na","North America","nacan","Canada","can",8604
"na","North America","nausa","United States","usa",69033.99999999999
"sa","South America","saecu","Ecuador","ecu",2971
"sa","South America","saper","Peru","per",63
