"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asafg","Afghanistan","afg",2441.9999999999995
"as","Asia","asare","United Arab Emirates","are",1229783.9999999998
"as","Asia","aschn","China","chn",26151151
"as","Asia","asind","India","ind",4358479.999999999
"as","Asia","asirn","Iran","irn",5501336
"as","Asia","asjpn","Japan","jpn",424
"as","Asia","askgz","Kyrgyzstan","kgz",2588911
"as","Asia","askor","South Korea","kor",1402743.9999999998
"as","Asia","astjk","Tajikistan","tjk",43546900
"as","Asia","astkm","Turkmenistan","tkm",260899.99999999997
"as","Asia","astur","Turkey","tur",203991
"as","Asia","asvnm","Vietnam","vnm",8757524
"eu","Europe","euesp","Spain","esp",627
"eu","Europe","eufra","France","fra",4550
"eu","Europe","euita","Italy","ita",1124
"eu","Europe","eultu","Lithuania","ltu",1285
"eu","Europe","eulva","Latvia","lva",140
"eu","Europe","eunld","Netherlands","nld",49
"eu","Europe","euprt","Portugal","prt",17
"eu","Europe","eurus","Russia","rus",55027
