"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asafg","Afghanistan","afg",2441.9999999999995
"as","Asia","aschn","China","chn",6513541.999999999
"as","Asia","asjpn","Japan","jpn",424
"as","Asia","askgz","Kyrgyzstan","kgz",2588911
"as","Asia","astjk","Tajikistan","tjk",43546900
"eu","Europe","euesp","Spain","esp",627
"eu","Europe","euita","Italy","ita",1124
"eu","Europe","eultu","Lithuania","ltu",1285
"eu","Europe","eulva","Latvia","lva",140
"eu","Europe","eunld","Netherlands","nld",49
"eu","Europe","euprt","Portugal","prt",17
"eu","Europe","eurus","Russia","rus",55027
