"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",5197
"as","Asia","asaze","Azerbaijan","aze",15787
"as","Asia","askaz","Kazakhstan","kaz",401202
"as","Asia","askgz","Kyrgyzstan","kgz",77094
"as","Asia","astur","Turkey","tur",9.000000000000002
"eu","Europe","eublr","Belarus","blr",21508.000000000004
"eu","Europe","eucze","Czechia","cze",1511.9999999999998
"eu","Europe","eumda","Moldova","mda",227433
"eu","Europe","eurou","Romania","rou",37633
"eu","Europe","eurus","Russia","rus",5172915
"eu","Europe","euukr","Ukraine","ukr",166783
"na","North America","nausa","United States","usa",228.99999999999997
