"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","aftun","Tunisia","tun",86062.99999999999
"as","Asia","asarm","Armenia","arm",3140
"as","Asia","asaze","Azerbaijan","aze",33941
"as","Asia","askaz","Kazakhstan","kaz",205766
"as","Asia","askgz","Kyrgyzstan","kgz",127323
"as","Asia","astjk","Tajikistan","tjk",189446
"eu","Europe","eubel","Belgium","bel",216840
"eu","Europe","eucze","Czechia","cze",32782
"eu","Europe","eudeu","Germany","deu",53904
"eu","Europe","eugbr","United Kingdom","gbr",41888.99999999999
"eu","Europe","euita","Italy","ita",148840
"eu","Europe","eultu","Lithuania","ltu",412443.00000000006
"eu","Europe","eulva","Latvia","lva",6376
"eu","Europe","eumda","Moldova","mda",9950
"eu","Europe","eupol","Poland","pol",1285162
"eu","Europe","eurus","Russia","rus",5786712
"eu","Europe","euukr","Ukraine","ukr",564023
