"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",1513.0000000000002
"as","Asia","asaze","Azerbaijan","aze",211671
"as","Asia","asidn","Indonesia","idn",144.00000000000003
"as","Asia","askaz","Kazakhstan","kaz",1540197
"as","Asia","askgz","Kyrgyzstan","kgz",19091795
"as","Asia","asmng","Mongolia","mng",1874
"as","Asia","astjk","Tajikistan","tjk",258668
"as","Asia","astkm","Turkmenistan","tkm",34760
"as","Asia","astur","Turkey","tur",11599
"eu","Europe","eublr","Belarus","blr",7305
"eu","Europe","eucze","Czechia","cze",2997
"eu","Europe","eudeu","Germany","deu",10835.999999999998
"eu","Europe","euest","Estonia","est",19430
"eu","Europe","eugbr","United Kingdom","gbr",6600
"eu","Europe","eultu","Lithuania","ltu",861
"eu","Europe","eulva","Latvia","lva",113145
"eu","Europe","eumda","Moldova","mda",182809.00000000003
"eu","Europe","eumlt","Malta","mlt",2
"eu","Europe","euprt","Portugal","prt",11375
"eu","Europe","eurou","Romania","rou",63930
"eu","Europe","eurus","Russia","rus",6311925.999999999
"eu","Europe","euukr","Ukraine","ukr",129858
"na","North America","nausa","United States","usa",795.9999999999999
