"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",7427.000000000001
"as","Asia","asaze","Azerbaijan","aze",25884
"as","Asia","aschn","China","chn",16
"as","Asia","asidn","Indonesia","idn",109
"as","Asia","asisr","Israel","isr",66407
"as","Asia","askaz","Kazakhstan","kaz",2207092
"as","Asia","askgz","Kyrgyzstan","kgz",34039487
"as","Asia","askwt","Kuwait","kwt",27088
"as","Asia","asmng","Mongolia","mng",1771
"as","Asia","astjk","Tajikistan","tjk",116772
"as","Asia","astkm","Turkmenistan","tkm",7966
"as","Asia","astur","Turkey","tur",15
"eu","Europe","eublr","Belarus","blr",319659
"eu","Europe","eucze","Czechia","cze",35724.00000000001
"eu","Europe","eudeu","Germany","deu",66975
"eu","Europe","euest","Estonia","est",28820.999999999996
"eu","Europe","euirl","Ireland","irl",25
"eu","Europe","euita","Italy","ita",3060498
"eu","Europe","eultu","Lithuania","ltu",4297
"eu","Europe","eulva","Latvia","lva",159556
"eu","Europe","eumda","Moldova","mda",499670
"eu","Europe","eumne","Montenegro","mne",25
"eu","Europe","eupol","Poland","pol",3345
"eu","Europe","eurou","Romania","rou",62332
"eu","Europe","eurus","Russia","rus",16070559
"eu","Europe","euukr","Ukraine","ukr",287741
