"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asaze","Azerbaijan","aze",23859
"as","Asia","aschn","China","chn",2
"as","Asia","askaz","Kazakhstan","kaz",920951
"as","Asia","askgz","Kyrgyzstan","kgz",285811
"eu","Europe","eublr","Belarus","blr",127557
"eu","Europe","eudeu","Germany","deu",87180
"eu","Europe","euirl","Ireland","irl",48
"eu","Europe","eumlt","Malta","mlt",5
"eu","Europe","eupol","Poland","pol",191558
"eu","Europe","eurus","Russia","rus",10745826
"eu","Europe","euukr","Ukraine","ukr",656331
